datetime,DXY open,DXY high,DXY low,DXY close
2023-12-14 14:00:00+00:00,102.272,102.29,101.942,101.955
2023-12-14 15:00:00+00:00,101.956,102.161,101.899,101.915
2023-12-14 16:00:00+00:00,101.915,101.943,101.813,101.864
2023-12-14 17:00:00+00:00,101.865,101.927,101.77,101.807
2023-12-14 18:00:00+00:00,101.806,102.023,101.806,102.014
2023-12-14 19:00:00+00:00,102.015,102.04,101.928,101.956
2023-12-14 20:00:00+00:00,101.957,101.982,101.904,101.93
2023-12-14 21:00:00+00:00,101.93,101.977,101.929,101.949
2023-12-14 22:00:00+00:00,101.949,101.964,101.935,101.958
2023-12-15 13:00:00+00:00,102.19,102.578,102.155,102.473
2023-12-15 14:00:00+00:00,102.474,102.482,102.323,102.385
2023-12-15 15:00:00+00:00,102.385,102.465,102.321,102.391
2023-12-15 16:00:00+00:00,102.391,102.495,102.359,102.456
2023-12-15 17:00:00+00:00,102.455,102.462,102.392,102.443
2023-12-15 18:00:00+00:00,102.443,102.643,102.442,102.608
2023-12-15 19:00:00+00:00,102.608,102.634,102.549,102.55
2023-12-15 20:00:00+00:00,102.55,102.603,102.466,102.603
2023-12-15 21:00:00+00:00,102.603,102.628,102.592,102.594
2023-12-18 13:00:00+00:00,102.523,102.524,102.406,102.469
2023-12-18 14:00:00+00:00,102.47,102.499,102.43,102.45
2023-12-18 15:00:00+00:00,102.45,102.62,102.439,102.588
2023-12-18 16:00:00+00:00,102.588,102.594,102.518,102.574
2023-12-18 17:00:00+00:00,102.573,102.578,102.485,102.486
2023-12-18 18:00:00+00:00,102.486,102.55,102.483,102.528
2023-12-18 19:00:00+00:00,102.528,102.599,102.527,102.561
2023-12-18 20:00:00+00:00,102.561,102.591,102.539,102.54
2023-12-18 21:00:00+00:00,102.54,102.563,102.501,102.503
2023-12-18 22:00:00+00:00,102.503,102.531,102.502,102.512
2023-12-19 13:00:00+00:00,102.278,102.371,102.245,102.287
2023-12-19 14:00:00+00:00,102.288,102.326,102.102,102.145
2023-12-19 15:00:00+00:00,102.145,102.211,102.066,102.082
2023-12-19 16:00:00+00:00,102.082,102.139,102.065,102.112
2023-12-19 17:00:00+00:00,102.112,102.178,102.112,102.163
2023-12-19 18:00:00+00:00,102.163,102.206,102.144,102.162
2023-12-19 19:00:00+00:00,102.162,102.19,102.138,102.167
2023-12-19 20:00:00+00:00,102.167,102.204,102.145,102.148
2023-12-19 21:00:00+00:00,102.147,102.166,102.119,102.119
2023-12-19 22:00:00+00:00,102.119,102.135,102.106,102.108
2023-12-20 13:00:00+00:00,102.452,102.458,102.241,102.253
2023-12-20 14:00:00+00:00,102.253,102.274,102.169,102.179
2023-12-20 15:00:00+00:00,102.177,102.328,102.172,102.192
2023-12-20 16:00:00+00:00,102.191,102.314,102.179,102.307
2023-12-20 17:00:00+00:00,102.307,102.359,102.27,102.294
2023-12-20 18:00:00+00:00,102.294,102.309,102.253,102.281
2023-12-20 19:00:00+00:00,102.281,102.436,102.273,102.408
2023-12-20 20:00:00+00:00,102.408,102.529,102.385,102.529
2023-12-20 21:00:00+00:00,102.529,102.544,102.418,102.428
2023-12-20 22:00:00+00:00,102.429,102.452,102.402,102.409
2023-12-21 13:00:00+00:00,102.074,102.129,101.812,101.91
2023-12-21 14:00:00+00:00,101.911,101.967,101.827,101.914
2023-12-21 15:00:00+00:00,101.913,102.082,101.901,101.933
2023-12-21 16:00:00+00:00,101.932,101.994,101.87,101.903
2023-12-21 17:00:00+00:00,101.904,102.01,101.897,101.96
2023-12-21 18:00:00+00:00,101.958,102.03,101.921,101.933
2023-12-21 19:00:00+00:00,101.933,101.939,101.819,101.843
2023-12-21 20:00:00+00:00,101.842,101.89,101.805,101.806
2023-12-21 21:00:00+00:00,101.805,101.809,101.735,101.747
